Date,Close,Open,High,Low,Change %
2016-03-21,13135.0,13125.0,13180.0,13125.0,0.13
2016-03-22,13180.0,13155.0,13190.0,13135.0,0.34
2016-03-23,13177.5,13152.5,13202.5,13141.5,-0.02
2016-03-24,13252.5,13202.5,13262.5,13152.5,0.57
2016-03-25,13252.5,13252.5,13252.5,13252.5,0.0
2016-03-28,13367.5,13277.5,13367.5,13277.5,0.87
2016-03-29,13397.5,13327.5,13432.5,13317.5,0.22
2016-03-30,13267.5,13302.5,13377.5,13255.5,-0.97
2016-03-31,13260.0,13255.0,13296.0,13240.0,-0.06
2016-04-01,13160.0,13175.0,13210.0,13155.0,-0.75
2016-04-04,13166.5,13121.5,13176.5,13121.5,0.05
2016-04-05,13219.0,13194.0,13234.0,13179.0,0.4
2016-04-06,13222.5,13212.5,13232.5,13172.5,0.03
2016-04-07,13160.0,13175.0,13212.0,13155.0,-0.47
2016-04-08,13142.5,13162.5,13187.5,13137.5,-0.13
2016-04-11,13127.5,13102.5,13139.5,13102.5,-0.11
2016-04-12,13113.5,13116.5,13126.5,13106.5,-0.11
2016-04-13,13160.0,13085.0,13190.0,13085.0,0.35
2016-04-14,13177.5,13217.5,13252.5,13177.5,0.13
2016-04-15,13175.0,13175.0,13180.0,13145.0,-0.02
2016-04-18,13175.0,13185.0,13220.0,13175.0,0.0
2016-04-19,13147.5,13132.5,13157.5,13132.5,-0.21
2016-04-20,13141.0,13105.0,13151.0,13105.0,-0.05
2016-04-21,13157.5,13152.5,13187.5,13147.5,0.13
2016-04-22,13197.5,13152.5,13207.5,13152.5,0.3
2016-04-25,13197.5,13202.5,13242.5,13192.5,0.0
2016-04-26,13200.0,13205.0,13230.0,13190.0,0.02
2016-04-27,13194.5,13182.5,13207.5,13152.5,-0.04
2016-04-28,13186.5,13161.5,13211.5,13151.5,-0.06
2016-04-29,13185.0,13174.0,13230.0,13118.0,-0.01
2016-05-02,13180.0,13175.0,13195.0,13175.0,-0.04
2016-05-03,13194.5,13144.5,13196.5,13134.5,0.11
2016-05-04,13241.5,13211.5,13251.5,13141.5,0.36
2016-05-05,13241.5,13241.5,13241.5,13241.5,0.0
2016-05-06,13241.5,13241.5,13241.5,13241.5,0.0
2016-05-09,13290.0,13305.0,13305.0,13275.0,0.37
2016-05-10,13287.5,13322.5,13337.5,13262.5,-0.02
2016-05-11,13305.0,13265.0,13305.0,13255.0,0.13
2016-05-12,13297.5,13302.5,13312.5,13282.5,-0.06
2016-05-13,13317.5,13302.5,13324.5,13297.5,0.15
2016-05-16,13302.5,13317.5,13332.5,13302.5,-0.11
2016-05-17,13298.5,13293.5,13308.5,13267.5,-0.03
